Data Time,Data Value
27-06-2024 11:00,438.84
27-06-2024 11:30,438.84
27-06-2024 12:30,438.84
27-06-2024 13:30,438.84
27-06-2024 13:45,438.83
27-06-2024 14:15,438.83
27-06-2024 15:00,438.83
27-06-2024 15:30,438.83
27-06-2024 16:00,438.83
27-06-2024 16:30,438.83
27-06-2024 17:00,438.83
27-06-2024 17:45,438.83
27-06-2024 18:00,438.83
27-06-2024 18:15,438.83
27-06-2024 19:00,438.83
27-06-2024 19:30,438.83
27-06-2024 20:15,438.83
27-06-2024 20:30,436.03
27-06-2024 21:30,438.83
27-06-2024 21:45,438.83
27-06-2024 22:15,438.83
27-06-2024 22:30,438.84
27-06-2024 23:00,438.83
28-06-2024 01:30,438.84
28-06-2024 02:15,438.84
28-06-2024 03:00,438.85
28-06-2024 03:45,438.86
28-06-2024 04:00,438.86
28-06-2024 04:45,438.85
28-06-2024 05:15,438.85
28-06-2024 06:30,438.83
28-06-2024 08:00,438.83
28-06-2024 10:30,438.84
28-06-2024 12:00,438.82
28-06-2024 13:00,438.82
28-06-2024 13:30,438.82
28-06-2024 14:15,438.83
28-06-2024 16:30,438.82
28-06-2024 17:45,438.81
28-06-2024 18:45,438.82
28-06-2024 19:15,438.82
28-06-2024 20:00,438.82
28-06-2024 20:30,438.82
28-06-2024 21:15,438.82
28-06-2024 22:00,438.81
28-06-2024 22:45,438.82
28-06-2024 23:30,438.82
29-06-2024 00:00,438.84
29-06-2024 01:15,438.84
29-06-2024 01:30,438.84
29-06-2024 02:00,438.84
29-06-2024 02:45,438.84
29-06-2024 03:30,438.83
29-06-2024 04:00,438.83
29-06-2024 04:30,438.83
29-06-2024 05:15,438.83
29-06-2024 05:30,438.82
29-06-2024 06:00,438.82
29-06-2024 06:30,438.82
29-06-2024 07:45,438.82
29-06-2024 08:45,438.8
29-06-2024 09:45,438.8
29-06-2024 12:00,438.82
29-06-2024 12:30,438.82
29-06-2024 13:00,438.82
29-06-2024 13:45,438.82
29-06-2024 14:45,438.82
29-06-2024 16:15,438.81
29-06-2024 17:00,438.82
29-06-2024 17:30,438.81
29-06-2024 18:15,438.81
29-06-2024 19:45,438.81
29-06-2024 20:00,438.8
29-06-2024 21:00,438.81
29-06-2024 21:30,438.81
29-06-2024 22:15,438.81
30-06-2024 00:00,438.82
30-06-2024 01:15,438.82
30-06-2024 01:30,438.82
30-06-2024 02:00,438.81
30-06-2024 03:00,438.81
30-06-2024 03:45,438.82
30-06-2024 04:30,438.82
30-06-2024 05:15,438.82
30-06-2024 06:30,438.81
30-06-2024 07:30,438.8
30-06-2024 08:00,438.8
30-06-2024 09:00,438.8
30-06-2024 09:30,438.79
30-06-2024 10:00,438.79
30-06-2024 11:30,438.79
30-06-2024 11:45,438.79
30-06-2024 12:30,438.78
30-06-2024 13:45,438.79
30-06-2024 14:15,438.81
30-06-2024 15:00,438.79
30-06-2024 15:15,438.79
30-06-2024 15:45,438.79
30-06-2024 16:15,438.79
30-06-2024 16:45,438.79
30-06-2024 17:15,438.79
30-06-2024 18:00,438.78
30-06-2024 18:45,438.79
30-06-2024 19:15,438.79
30-06-2024 19:45,438.79
30-06-2024 21:00,438.79
30-06-2024 21:30,438.79
30-06-2024 22:00,438.8
30-06-2024 22:30,438.81
30-06-2024 23:15,438.81
01-07-2024 01:00,438.8
01-07-2024 01:30,438.79
01-07-2024 02:45,438.8
01-07-2024 03:15,438.8
01-07-2024 04:00,438.8
01-07-2024 04:30,438.8
01-07-2024 05:00,438.8
01-07-2024 05:30,438.8
01-07-2024 06:15,438.8
01-07-2024 06:45,438.8
01-07-2024 09:15,438.77
01-07-2024 09:30,438.77
01-07-2024 10:15,438.77
01-07-2024 10:45,438.77
01-07-2024 11:15,438.77
01-07-2024 11:30,438.77
01-07-2024 11:45,438.77
01-07-2024 12:30,438.77
01-07-2024 13:00,438.77
01-07-2024 13:30,438.77
01-07-2024 18:30,435.72
01-07-2024 18:45,435.72
01-07-2024 21:00,435.72
02-07-2024 00:00,435.72
02-07-2024 00:30,435.72
02-07-2024 01:00,435.72
02-07-2024 02:00,435.72
02-07-2024 02:15,435.72
02-07-2024 03:15,435.72
02-07-2024 04:00,435.72
02-07-2024 04:15,435.72
02-07-2024 04:45,435.72
02-07-2024 06:15,435.72
02-07-2024 07:00,435.72
02-07-2024 07:30,435.72
02-07-2024 08:00,435.72
02-07-2024 08:15,435.72
02-07-2024 08:45,435.72
02-07-2024 09:45,438.77
02-07-2024 10:45,438.77
02-07-2024 11:15,438.77
02-07-2024 11:45,438.77
02-07-2024 12:30,438.77
02-07-2024 13:00,438.77
02-07-2024 13:30,438.76
